OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,
1635550,LOP221115000996,62ND AV&HILTON ST,AV&HILTON ST,901,VEHICLE COLLISION/PR,1668538988000,6072766,2106519,C,27Y,CCD6,11/15/22  7:03:08 PM,1668550153000,27,4,3
1635551,LOP221115000995,1152 ELMHURST AV,ELMHURST AV,911C,911 HANG UP FROM CP,1668538950000,6077104,2097717,C,33X,CCD7,11/15/22  7:02:30 PM,1668544038000,33,5,3
1635553,LOP221115001001,3020 E 15TH ST,E 15TH ST,911N,POLICE RELATED MATTE,1668539129000,6062547,2110868,C,20X,CCD5,11/15/22  7:05:29 PM,1668539130000,20,3,2
1635554,LOP221115001000,7TH ST&SB I880,ST&SB I880,415C,415 UNKNOWN,1668539116000,6040289,2121637,C,02Y,CCD3,11/15/22  7:05:16 PM,1668539120000,2,1,1
1635555,LOP221115001003,1004 18TH ST,18TH ST,243E,BATTERY ON CO-HABITA,1668539322000,6046906,2122918,C,05X,CCD3,11/15/22  7:08:42 PM,1668547971000,5,1,1
1635556,LOP221115001002,2355 BROADWAY,BROADWAY,459AU,AUTO BURGLARY,1668539288000,6051566,2123255,C,08X,CCD3,11/15/22  7:08:08 PM,1668539288000,8,2,1
1635557,LOP221115001004,2452 VALDEZ ST,VALDEZ ST,459AU,AUTO BURGLARY,1668539333000,6052260,2123627,C,08X,CCD3,11/15/22  7:08:53 PM,1668539333000,8,2,1
1635558,LOP221115001005,1400 BROADWAY,BROADWAY,SECCK,SECURITY CHECK,1668539403000,6050014,2120170,C,04X,CCD3,11/15/22  7:10:03 PM,1668546058000,4,1,1
1635559,LOP221115001007,5TH ST&MANDELA PKWY,ST&MANDELA PKWY,484,THEFT,1668539503000,6043372,2120118,C,02Y,CCD3,11/15/22  7:11:43 PM,1668539503000,2,1,1
1635560,LOP221115001006,7TH ST&MANDELA PKWY,ST&MANDELA PKWY,SECCK,SECURITY CHECK,1668539485000,6043529,2120557,C,02Y,CCD3,11/15/22  7:11:25 PM,1668542581000,2,1,1
1635561,LOP221115001009,4840 WALNUT ST,WALNUT ST,945A,AMBULANCE REQUESTED,1668539606000,6070517,2110798,C,28X,CCD6,11/15/22  7:13:26 PM,1668539606000,28,4,3
1635562,LOP221115001008,3936 TELEGRAPH AV,TELEGRAPH AV,417,BRANDISH A WEAPON,1668539555000,6052082,2129000,C,08X,CCD1,11/15/22  7:12:35 PM,1668541865000,8,2,1
1635563,LOP221115001012,14TH ST&CENTER ST,ST&CENTER ST,242,BATTERY,1668539632000,6043770,2122768,C,02Y,CCD3,11/15/22  7:13:52 PM,1668540930000,2,1,1
