OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1763066,,,,,,,,,,,,,,,,,
1767426,,,,,,,,,,,,,,,,,
1912323,LOP231224000869,89TH AV&BIRCH ST,AV&BIRCH ST,20002,HIT & RUN (PROPERTY,1703444768000,"[-122.169849, 37.7526943]",6078929,2100840,C,34X,CCD7,12/24/23  7:06:08 PM,1703445941000,34,5,3
1912324,LOP231224000870,5100 BROADWAY,BROADWAY,SECCK,SECURITY CHECK,1703444844000,"[-122.2519021, 37.8350363]",6055772,2131251,C,09X,CCD1,12/24/23  7:07:24 PM,1703448213000,9,2,1
1912325,LOP231224000871,324 23RD AV,23RD AV,911C,911 HANG UP FROM CP,1703445036000,"[-122.2358217, 37.7731415]",6059997,2108631,C,20X,CCD5,12/24/23  7:10:36 PM,1703445389000,20,3,2
1912326,LOP231224000873,6311 E 17TH ST,E 17TH ST,929,FIRE,1703445109000,"[-122.1950687, 37.7643762]",6071716,2105224,C,27Y,CCD6,12/24/23  7:11:49 PM,1703445109000,27,4,3
1912327,LOP231224000872,2232 SEMINARY AV,SEMINARY AV,415TH,415 THREATS,1703445086000,"[-122.1936525, 37.7691869]",6072157,2106968,P,27Y,CCD6,12/24/23  7:11:26 PM,1703446900000,27,4,3
1912328,LOP231224000874,2232 SEMINARY AV,SEMINARY AV,911C,911 HANG UP FROM CP,1703445160000,"[-122.1936525, 37.7691869]",6072157,2106968,P,27Y,CCD6,12/24/23  7:12:40 PM,1703445203000,27,4,3
1912329,LOP231224000876,7101 EDGEWATER DR,EDGEWATER DR,911C,911 HANG UP FROM CP,1703445482000,"[-122.2094674, 37.7488054]",6067451,2099631,C,31X,CCD7,12/24/23  7:18:02 PM,1703445482000,31,5,3
1912330,LOP231224000878,7101 EDGEWATER DR,EDGEWATER DR,911C,911 HANG UP FROM CP,1703445598000,"[-122.2094674, 37.7488054]",6067451,2099631,C,31X,CCD7,12/24/23  7:19:58 PM,1703445599000,31,5,3
1912331,LOP231224000877,388 9TH ST,9TH ST,602L,TRESPASS:,1703445573000,"[-122.27183, 37.8003542]",6049779,2118733,C,03X,CCD2,12/24/23  7:19:33 PM,1703455880000,3,1,1
1912332,LOP231224000879,8TH ST&ADELINE ST,ST&ADELINE ST,SECCK,SECURITY CHECK,1703445604000,"[-122.2878553, 37.8048451]",6045181,2120456,C,02X,CCD3,12/24/23  7:20:04 PM,1703447432000,2,1,1
